instructions,cycles,cpu-migrations,branches,branch-misses,context-switches,cache-references,cache-misses,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-stores,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,Thread,seconds,matrix_workload,Class,energy_joules
1035912742520,847806118040,327,68541758395,152296963,30546,5246215230,2578913988,104505047208,268244512840,24647671562,12254717493,294336635,4200723156,2272790419,17833,17833,6,53.52,1061208,SG,
1036606841164,842422783876,331,68705570059,152172614,30066,5259634608,2608268153,104394524595,267847220738,24648198750,12271900022,306013513,4192312445,2302391480,25245,25245,6,52.84,1061208,SG,
1033995926799,830314427425,281,67782450937,151713308,29168,5210128961,2558089755,104246277556,267735216944,24704616297,12271847558,292860573,4133217921,2253089472,21164,21164,6,52.44,1061208,SG,
1036877062052,845476807969,455,69096347677,152616724,31381,5315621322,2625884668,104098432758,267889488159,24601229036,12284872630,304857622,4276913438,2307151059,29330,29330,6,53.72,1061208,SG,
1038359570090,867049438167,468,69309586085,152632196,32238,5397381362,2716806272,104341380912,267607212918,24667847726,12302954810,310247309,4286218169,2408525017,19855,19855,6,55.1,1061208,SG,
1039239628772,834059961360,315,68911954693,152214073,29988,5240256557,2534621461,104540236481,268171149091,24625772323,12216289501,298850769,4182933735,2234875797,20654,20654,6,52.28,1061208,SG,
1038047389376,841392825233,382,69111216039,152572024,30539,5311435578,2597952785,104178782837,267385842286,24687254324,12258546670,303926108,4224587684,2251106951,46992,46992,6,53.32,1061208,SG,
1038567246656,840508740543,365,68620371847,152054199,29776,5263482996,2620826369,104139343159,267396471707,24611611190,12256660026,305823599,4188186601,2310518193,14854,14854,6,53.16,1061208,SG,
1039654180781,860007926965,458,68941034731,152705914,31477,5421487426,2682695289,104368106817,267610605347,24633067686,12279261055,307608503,4344419065,2340159052,23520,23520,6,54.14,1061208,SG,
1035550538439,824728218732,338,68290950513,152019171,29394,5235219500,2546902963,104027521709,267011592147,24653125547,12267505439,300182177,4169382011,2211009969,26479,26479,6,52.17,1061208,SG,
1038426059000,857731255285,334,69555200847,152428667,31090,5309425846,2625167393,104077700644,267525070685,24674711771,12312875142,304212900,4217902193,2300698308,22114,22114,6,54.29,1061208,SG,
1047224798387,1001180732112,474,72702732741,156719748,39638,6714625638,3744983032,104380804427,268746118147,24661493612,12413199461,390230921,5525566874,3367385920,39355,39355,8,48.2,1061208,SG,
1040932937540,972057367576,305,71727086774,155736744,36249,6534869800,3597612677,103958774939,270106270949,24663578206,12333795682,379232369,5334543556,3211439817,32466,32466,8,46.07,1061208,SG,
1045873305491,988584883454,373,72478494127,156097305,38288,6539678330,3644824758,104072376966,270708595773,24694241384,12358861096,382872334,5404727113,3266429679,18734,18734,8,47.14,1061208,SG,
1059306530907,974651401738,300,71074839114,154765102,35283,6618296151,3627720547,103559707721,262218509126,24505266628,12435581455,415299372,5214591180,3096699358,28124,28124,8,45.49,1061208,SG,
1036158100343,940450300331,116,69462768140,153335894,31701,6570680856,3561619842,104109257458,268406051535,24663759112,12408896891,387584636,5388586720,3173918496,32221,32221,8,42.36,1061208,SG,
1054221986651,946430218542,286,70560120606,154546073,35519,6580758088,3623405207,104105302377,266605804482,24537461322,12473144693,412768167,5305774580,3106671203,28638,28638,8,44.82,1061208,SG,
